id,paragraph,tokens
1,CHAPTER 11. BEFORE PHARAOH,
2,"It was the day after the adventure of Julius Caesar and the Little Black Girl that Cyril, bursting into the bathroom to wash his hands for dinner (you have no idea how dirty they were, for he had been playing shipwrecked mariners all the morning on the leads at the back of the house, where the water-cistern is), found Anthea leaning her elbows on the edge of the bath, and crying steadily into it.",day adventure little black burst bathroom wash hand dinner have idea dirty play shipwreck mariner morning lead back house water cistern find lean elbow edge bath cry 
3,"‘Hullo!’ he said, with brotherly concern, ‘what’s up now? Dinner’ll be cold before you’ve got enough salt-water for a bath.’",say brotherly concern dinner cold get enough salt water bath 
4,"‘Go away,’ said Anthea fiercely. ‘I hate you! I hate everybody!’",go say hate hate 
5,There was a stricken pause.,be stricken pause 
6,"‘_I_ didn’t know,’ said Cyril tamely.",know say 
7,"‘Nobody ever does know anything,’ sobbed Anthea.",know sobb 
8,"‘I didn’t know you were waxy. I thought you’d just hurt your fingers with the tap again like you did last week,’ Cyril carefully explained.",know waxy think hurt finger tap do last week explain 
9,‘Oh--fingers!’ sneered Anthea through her sniffs.,finger sneer sniff 
10,"‘Here, drop it, Panther,’ he said uncomfortably. ‘You haven’t been having a row or anything?’",drop say have row 
11,"‘No,’ she said. ‘Wash your horrid hands, for goodness’ sake, if that’s what you came for, or go.’",say wash horrid hand goodness sake come go 
12,Anthea was so seldom cross that when she was cross the others were always more surprised than angry.,seldom cross cross other surprise angry 
13,Cyril edged along the side of the bath and stood beside her. He put his hand on her arm.,edged side bath stand put hand arm 
14,"‘Dry up, do,’ he said, rather tenderly for him. And, finding that though she did not at once take his advice she did not seem to resent it, he put his arm awkwardly across her shoulders and rubbed his head against her ear.",dry do say find take advice seem resent put arm shoulder rub head ear 
15,"‘There!’ he said, in the tone of one administering a priceless cure for all possible sorrows. ‘Now, what’s up?’",say tone administer priceless cure possible sorrow 
16,‘Promise you won’t laugh?’,promise laugh 
17,"‘I don’t feel laughish myself,’ said Cyril, dismally.",feel laughish say 
18,"‘Well, then,’ said Anthea, leaning her ear against his head, ‘it’s Mother.’",say lean ear head mother 
19,"‘What’s the matter with Mother?’ asked Cyril, with apparent want of sympathy. ‘She was all right in her letter this morning.’",matter mother ask apparent want sympathy right letter morning 
20,‘Yes; but I want her so.’,want 
21,"‘You’re not the only one,’ said Cyril briefly, and the brevity of his tone admitted a good deal.",only one say brevity tone admit good deal 
22,"‘Oh, yes,’ said Anthea, ‘I know. We all want her all the time. But I want her now most dreadfully, awfully much. I never wanted anything so much. That Imogen child--the way the ancient British Queen cuddled her up! And Imogen wasn’t me, and the Queen was Mother. And then her letter this morning! And about The Lamb liking the salt bathing! And she bathed him in this very bath the night before she went away--oh, oh, oh!’",say know want time want much want much child way ancient british cuddle mother letter morning like salt bathing bath very bath night go 
23,Cyril thumped her on the back.,thump back 
24,"‘Cheer up,’ he said. ‘You know my inside thinking that I was doing? Well, that was partly about Mother. We’ll soon get her back. If you’ll chuck it, like a sensible kid, and wash your face, I’ll tell you about it. That’s right. You let me get to the tap. Can’t you stop crying? Shall I put the door-key down your back?’",cheer say know inside thinking do mother get chuck sensible kid wash face tell right let get tap stop cry put door key back 
25,"‘That’s for noses,’ said Anthea, ‘and I’m not a kid any more than you are,’ but she laughed a little, and her mouth began to get back into its proper shape. You know what an odd shape your mouth gets into when you cry in earnest.",nose say kid more laugh little mouth begin get proper shape know odd shape mouth get cry earnest 
26,"‘Look here,’ said Cyril, working the soap round and round between his hands in a thick slime of grey soapsuds. ‘I’ve been thinking. We’ve only just PLAYED with the Amulet so far. We’ve got to work it now--WORK it for all it’s worth. And it isn’t only Mother either. There’s Father out there all among the fighting. I don’t howl about it, but I THINK--Oh, bother the soap!’ The grey-lined soap had squirted out under the pressure of his fingers, and had hit Anthea’s chin with as much force as though it had been shot from a catapult.",look say work soap hand thick slime grey soapsud think played get work work worth mother be father fighting howl think bother soap grey line soap squirt pressure finger hit chin much force shoot catapult 
27,"‘There now,’ she said regretfully, ‘now I shall have to wash my face.’",say have wash face 
