id,paragraph,tokens
1,CHAPTER III. AN UNEXPECTED OPENING,unexpected open 
2," Ventimore made his way to Cottesmore Gardens that evening in a highly inconsistent, not to say chaotic, state of mind. The thought that he would presently see Sylvia again made his blood course quicker, while he was fully determined to say no more to her than civility demanded.",make way evening inconsistent say chaotic state mind thought see make blood course quick determined say more civility demand 
3,"At one moment he was blessing Professor Futvoye for his happy thought in making use of him; at another he was bitterly recognising that it would have been better for his peace of mind if he had been left alone. Sylvia and her mother had no desire to see more of him; if they had, they would have asked him to come before this. No doubt they would tolerate him now for the Professor's sake; but who would not rather be ignored than tolerated?",moment bless happy thought make use recognise good peace mind leave alone mother have desire see more have ask come doubt tolerate sake ignore tolerate 
4,The more often he saw Sylvia the more she would make his heart ache with vain longing--whereas he was getting almost reconciled to her indifference; he would very soon be cured if he didn't see her.,see more make heart ache vain longing reconcile indifference cure see 
5,"Why _should_ he see her? He need not go in at all. He had merely to leave the catalogue with his compliments, and the Professor would learn all he wanted to know.",see go have leave catalogue compliment learn want know 
6,"On second thoughts he must go in--if only to return the bank-note. But he would ask to see the Professor in private. Most probably he would not be invited to join his wife and daughter, but if he were, he could make some excuse. They might think it a little odd--a little discourteous, perhaps; but they would be too relieved to care much about that.",second thought go return bank note ask see private invite join wife daughter make excuse think little odd little discourteous relieved care much 
7,"When he got to Cottesmore Gardens, and was actually at the door of the Futvoyes' house, one of the neatest and demurest in that retired and irreproachable quarter, he began to feel a craven hope that the Professor might be out, in which case he need only leave the catalogue and write a letter when he got home, reporting his non-success at the sale, and returning the note.",get door house neatest demurest retire irreproachable quarter begin feel craven hope case leave catalogue write letter get report non-success sale return note 
8,"And, as it happened, the Professor _was_ out, and Horace was not so glad as he thought he should be. The maid told him that the ladies were in the drawing-room, and seemed to take it for granted that he was coming in, so he had himself announced. He would not stay long--just long enough to explain his business there, and make it clear that he had no wish to force his acquaintance upon them. He found Mrs. Futvoye in the farther part of the pretty double drawing-room, writing letters, and Sylvia, more dazzlingly fair than ever in some sort of gauzy black frock with a heliotrope sash and a bunch of Parma violets on her breast, was comfortably established with a book in the front room, and seemed surprised, if not resentful, at having to disturb herself.",happen glad think maid tell lady draw room seem take grant come announce stay explain business make clear have wish force acquaintance find far part pretty double draw room writing letter fair sort gauzy black frock heliotrope sash bunch violet breast establish book front room seem surprise resentful have disturb 
9,"""I must apologise,"" he began, with an involuntary stiffness, ""for calling at this very unceremonious time; but the fact is, the Professor----""",apologise begin involuntary stiffness call unceremonious time fact 
10,"""I know all about it,"" interrupted Mrs. Futvoye, brusquely, while her shrewd, light-grey eyes took him in with a cool stare that was humorously observant without being aggressive. ""We heard how shamefully my husband abused your good-nature. Really, it was too bad of him to ask a busy man like you to put aside his work and go and spend a whole day at that stupid auction!""",know interrupt shrewd light grey eye take cool stare observant aggressive hear husband abuse good nature bad ask busy man put work go spend whole day stupid auction 
