id,paragraph,tokens
1,CHAPTER 38. IS SHE STILL GUILTY?,chapter guilty 
2,On the evening of that day Cecil Temple knocked at the door of Mrs Willis's private sitting-room.,evening day knock door private sitting room 
3,"""Ah, Cecil! is that you?"" said her governess.  ""I am always glad to see you, dear; but I happen to be particularly busy to-night.  Have you anything in particular to say to me?""",say governess glad see dear happen busy night have particular say 
4,"""I only wanted to talk about Annie, Mrs Willis.  You believe in her at last, don't you?""",want talk believe last 
5,"""Believe in her at last!"" said the head-mistress in a tone of astonishment and deep pain.  ""No, Cecil, my dear; you ask too much of my faith.  I do not believe in Annie.""",believe last say head mistress tone astonishment deep pain dear ask much faith believe 
6,"Cecil paused; she hesitated, and seemed half afraid to proceed.",pause hesitate seem afraid proceed 
7,"""Perhaps,"" she said at last in a slightly timid tone, ""you have not seen her since this morning?""",say last timid tone see morning 
8,"""No; I have been particularly busy.  Besides, the eight culprits are under punishment; part of their punishment is that I will not see them.""",busy culprit punishment part punishment see 
9,"""Don't you think, Mrs Willis,"" said Cecil, ""that Annie made rather a brave confession this morning?""",think say make brave confession morning 
10,"""I admit, my dear, that Annie spoke in somewhat of her old impulsive way; she blamed herself, and did not try to screen her--misdemeanours behind her companions.  In this one particular she reminded me of the old Annie who, notwithstanding all her faults.  I used to trust and love.  But as to her confession being very brave, my dear Cecil, you must remember that she did not _confess_ until she was obliged; she knew, and so did all the other girls, that I could have got the truth out of old Betty had they chosen to keep their lips sealed.  Then, my dear, consider what she did.  On the very night that I was away she violated the trust I had in her--she bade me `good-bye' with smiles and sweet glances, and then she did this in my absence.  No, Cecil, I fear poor Annie is not what we thought her.  She has done untold mischief during the half-year, and has willfully lied and deceived me.  I find, on comparing dates, that it was on the very night of the girls picnic that Dora's theme was changed.  There is no doubt whatever that Annie was the guilty person.  I did my best to believe in her, and to depend on Mr Everard's judgment of her character, but I confess I can do so no longer.  Cecil, dear, I am not surprised that you look pale and sad. No, we will not give up this poor Annie; we will try to love her even through her sin.  Ah! poor child, poor child! how much I have prayed for her!  She was to me as a child of my own.  Now, dear Cecil, I must ask you to leave me.""",admit dear speak old impulsive way blame try screen misdemeanour companion one particular remind old notwithstand fault use trust love confession brave dear remember _confess_ oblige know do other girl get truth old choose keep lip seal dear consider very night violate trust have bid good smile sweet glance do absence fear poor think do untold mischief half year lie deceive find compare date very night girl picnic theme change be doubt guilty person do good believe depend judgment character confess do dear surprised look pale sad give poor try love sin poor child poor child much pray child own dear ask leave 
11,"Cecil went slowly out of her governess's presence, and, wandering across the wide stone hall, she entered the play-room.  It happened to be a wet night, and the room was full of girls, who hung together in groups and whispered softly.  There were no loud voices, and, except from the little ones, there was no laughter.  A great depression hung over the place, and few could have recognised the happy girls of Lavender House in these sad young faces.  Cecil walked slowly into the room, and presently finding Hester Thornton, she sat down by her side.",go governess presence wonder wide stone hall enter play room happen wet night room full girl hang group whisper be loud voice little one be laughter great depression hang place few recognise happy girl sad young face walk room find sit side 
12,"""I can't get Mrs Willis to see it,"" she said very sadly.  ""What?"" asked Hester.",get see say ask 
