id,paragraph
1,CHAPTER XI.
2," Battle went out hunting as usual the next morning. Tracks of leopards were everywhere in the night's thin snow. He ventured not far into the forest, and returned with only a poor old withered bird, too cold and weak to fly off from his gun."
3,"""It's this way, my son,"" he said; ""I've heard the thing before. That howl brings half the forest against me, like blue-flies to meat. So all I does is to keep a weather-eye open, and musket a-cock. One of these days, Mulgar _mio_, Shadow or no Shadow, she shall have a brace of bullets in her vitals, as sure as my name's Battle."" But in spite of his fine words, he crouched gloomy and distracted beside his fire all day, casting ever and anon a stealthy glance over his shoulder, and lifting his eye slowly above the flames, to survey the clustering fringes of the forest around his hut."
4,"But Nod told Battle nothing of his talk with the old hare. He did not as much as tell him even that his brothers were near, or that he had seen Immanâla. He cleaned his master's gun. He busied himself over his Nano-cakes and nuts, and prevailed on Battle to eat by making him laugh at his antics. The more he thought of leaving him, and of the danger of the coming night, and the stony cruelty of Immanâla's gloating eyes, his heart fell deeper and deeper into trouble and dismay. But each time when it seemed he must run away and hide himself he gulped his terror down, and touched his Wonderstone."
5,"He himself lugged out Battle's Juddie when evening fell. But Battle had no mind for merriment and braveries that night. He picked out idly on the strings old mournful chanties that sailors sometimes sing; and he taught Nod a new song to bray out in his queer voice, ""She's me forgot"":"
6,"    ""'Me who have sailèd        Leagues across      Foam haunted        By the albatross,      Time now hath made        Remembered not:      Ay, my dear love        Hath me forgot."
7,"    ""'Oh, how should she,        Whose beauty shone,      Keep true to one        Such long years gone?      Grief cloud those eyes!--        I ask it not:      Content am I--        She's me forgot."
8,"    ""'Here where the evening        Ooboë wails,      Bemocking        England's nightingales,      Bravely, O sailor,        Take thy lot;      Nor grieve too much,        She's thee forgot!'"""
9,"But even between his slow-drawled, shakety notes of deep and shrill Nod listened for the least stir in the forest, and seemed to hear the low, hungry calls and scamperings of Immanâla's hunting-pack, which she had summoned from far and near to the tangled ravine beneath the rock."
10,"He got Battle early to bed by telling him he would dress his wounded shoulder, which was angry and inflamed, with a poultice of leaves such as his mother, Mutta-matutta, had taught him to make. ""Now,"" says he, ""it be broad full-moontime, master, and all Munza-mulgar will be gone hunting. But wake not. Nod, Prince of Tishnar, will watch;"" and even as he said it came remembrance of the Pigs to mind."
11,"Battle laughed, thinking what wondrous good sense these two-legged monkeys seemed to have, concerning which King Angeca had yet himself often assured him that it is all nothing but a show and pretence, since man alone has wisdom and knowledge, and little remains over for the beasts to share."
12,"The warmth and sleepiness of his big poultice soon set him snoring. And in a blaze of moonlight Nod warily opened the door, and stood in the squat black shadow of the hut, looking out over the forest. He had bound himself up tight. He had wound up his Wonderstone in a piece of lead that he had found in the hut to keep it from hopping in his pocket, and had stuck the sailor's sharp sheath-knife down the leg of his breeches."
13,"Then, like but an Utt or a gnome in that great waste of whiteness, he sallied out to destroy the Nameless. He came to the rock, but no shadow couched there now in the sheen. He crept on all fours, and between two great frost-lit boulders peeped into the ravine. There, changing and stirring, shone the numberless small green lanterns of the eyes of Immanâla's hunting-pack. He heard their low whinings and the soft crunch of their clawed feet in the snow. Else all was still."
14,"And Nod called in a low voice: ""Why do you hide from me, Immanâla, Queen of Shadows?"""
15,"He waited, but no answer came. ""Venture out, mistress,"" cried Nod louder, ""and we will be off together to the Oomgar's hut. You shall sit on the roof and watch the hunting-dogs at their supper."""
16,"At that, up by a narrow path from the ravine stole Immanâla, and all the Jack-Alls and Jaccatrays fell silent, staring with blazing eyes out of the darkness."
17,"""Call not so lustily, Prince of Tishnar!"" she said, fawning; ""we shall awake the Oomgar."""
18,"""Ohé,"" said Nod boldly; ""he sleeps deep. He fears neither beast nor Meermut in all this frozen Munza. Bid your greedy slaves stand ready, Immanâla. When I whistle them, supper is up."""
19,"Immanâla lifted her flat grey head, and seemed to listen. ""I hear the harps of Tishnar in the forest. The leaves of the branches of the trees of my master Nōōmanossi stir, and yet there moves no wind."""
20,"She fixed her colourless eyes on Nod, with her ears on her long, smooth forehead pricked forward. ""What is the cunning Mulgar thinking beneath all he says? Like fine sand in water, I hear the rustling of his thoughts."""
21,"Nod took a long breath and shut his eyes. ""I was thinking,"" he said, ""what stupid fellows must be these dogs of yours, seeing that each and every one keeps whimpering, 'The head--the head for me!' But they must wait in patience yet a little longer, if even a knucklebone is to be a share. I will go forward and choose out all that I and the Mulla-mulgars, my brothers, want of the Oomgar's house-treasures before the Jaccatrays tear everything to pieces."""
22,"""Softly, now, softly,"" said Immanâla. ""You think very little of me, Nizza-neela. Do you dream I came from far to protect you from my slaves, Roses and Jaccatray, and now am to get nothing for my pains? What of that stiff coat drenched with magic? That is mine. No, no, little greedy Mulgar; we share together, or I have all."""
23,"""Well, well,"" said Nod, as if unwilling, ""you shall take part, mistress, though all that's there is truly Tishnar's. Follow quietly! I will see if my Zbaffle be still asleep."""
24,"Immanâla crouched snarling in the moonlight, and Nod ran swiftly to the hut. The moon streamed in on the sailor's upturned face, where, lying flat on his back, he snored and snored and snored. Then Nod very quietly took down from its wooden hook the sailor's great skin coat, his belt of Ephelanto-hide, his huge hair hat, all such as in his wanderings he had captured from black Kings and men of magic. He filled the pockets, he stuffed them with bullets and copper rings and stones and lumps of ice--everything heavy that he could find. At the rattling of the stones Battle rolled over, muttering hoarsely in his sleep. Nod stopped instantly and listened. No words he understood. Then once more he set to work, and soon had dragged the huge stiff coat and hat and belt one by one over the door-log into the snow."
25,"""Hither, come hither! Hasten, mistress!"" he called softly, capering round about them. ""Here's a sight to cheer your royal heart! Here's riches! What have we here but the magic coat which the Oomgar stripped from the M'keeso of the old Lord Shillambansa, that feeds a hundred peacocks on his grave?"""
26,"Very, very heedfully Immanâla drew near on her belly in the snow. Cat-like, she smelt and capered."
27,"""Have no fear, Beast of Shadows,"" called Nod softly; ""the Oomgar sleeps like moss on the Tree of Everlasting."""
28,"Then all her vanity and greed welled up in the Beast of Shadows, for whosoever her dam may be, and all her lineage of solitude and strangeness, she has more greed than a wolf, more vanity than a vixen. She thrust her long lean head into the Cap."
29,"""Do but now let me help you, mistress,"" said Nod, ""as I used to help the Oomgar. Stand upright, and I will thrust your arms into the sleeves. We must hasten, we must be quiet."" At every glance her greed and vanity increased. Nod heaved and tugged till his thick fur lay dank on his poll, and at last the dreadful Beast was draped and swathed and mantled from ears to tail in the Oomgar's coat."
30,"""Now for the Dondo's belt of sorcery,"" said Nod. ""Sure, none will dare sneeze in Munza-mulgar when the sailorman is gone."" He put the thick belt round her lean body, though his head swam with her muskiness, and drew it tight into the buckle."
31,"""Gently, gently, little brother!"" sighed Immanâla. ""It is heavy, and I scarce can breathe."""
32,"""The very Oomgar himself used often to snort,"" said Nod."
33,"""But why does he keep so many stones in his pocket?"" pined Immanâla."
